,PlaybackIndex,is_progressive,is_medium,is_total,is_slow,is_static,is_proximal_droplet,is_distal_droplet,is_earlytrack,is_hyperactive_mouse,is_rapid,is_motile,is_bent_tail,fid,experiment_media,VAP,VSL,ALH,LIN,BCF,VCL,WOB,STR,MAD,cluster_id,P_cluster_0,P_cluster_1,P_cluster_2,P_cluster_3,P_cluster_4,subtype_label,P_rapid_progressive,P_immotile,P_nonprogressive,P_progressive,P_erratic,tsne_1,tsne_2,P_0,P_1,P_2,P_3,P_4,drug_cluster,P_axis_byls,E_axis_byls,progressivity_res,erraticity_res,entropy,umap_1,umap_2
501,20,1,0,1,0,0,0,0,0,1,1,1,0,501,6,98.83,85.38,14.45,30.29,26.82,281.9,35.06,86.39,80.76442261359189,0,0.9999999965568449,0.0,4.230153220807941e-11,3.9121739777653644e-14,3.4008142825576338e-09,rapid_progressive,0.9999999965568449,0.0,4.230153220807941e-11,3.9121739777653644e-14,3.4008142825576338e-09,19.95322,10.275573,0.9526487038470974,0.0,6.204470631388957e-100,0.001547002323674802,0.04580429382922809,0,0.9129721860596915,0.30438117779287116,0.999999996556884,7.558695478234929e-10,0.06639917305250256,8.760643,7.0243807
502,21,0,0,1,0,0,0,0,1,1,1,1,0,502,6,107.79,56.42,15.05,18.18,24.93,310.35,34.73,52.34,86.36644502205206,0,0.9978410271517391,0.0,1.6539898036554291e-15,1.4006028555040094e-247,0.0021589728482583974,rapid_progressive,0.9978410271517391,0.0,1.6539898036554291e-15,1.4006028555040094e-247,0.0021589728482583974,13.71703,30.636326,5.236857884438395e-06,0.0,0.0,1.8781736160269602e-21,0.9999947631421147,4,0.7892582120598823,0.5283360039499471,0.9978410271517391,0.0007390411694926484,2.0498583447131776e-11,6.3545933,6.6605425
503,22,1,0,1,0,0,0,0,1,0,1,1,0,503,6,146.24,139.51,6.89,70.65,30.69,197.47,74.06,95.39,63.493735859032405,3,2.6411597473340143e-17,0.0,6.134829162148933e-19,1.0,1.6740455179376297e-105,progressive,2.6411597473340143e-17,0.0,6.134829162148933e-19,1.0,1.6740455179376297e-105,14.365258,-39.17922,2.026715581704489e-26,0.0,0.6986188387496689,3.6839170788997116e-16,6.480148596833509e-102,2,1.0,0.050179560173957714,1.0,0.0,-1.0000719494228052e-12,14.460646,6.2606645
504,25,1,0,1,0,0,0,0,1,0,1,1,0,504,6,133.43,109.41,8.26,48.95,19.95,223.51,59.7,82.0,87.41495922863241,0,0.9999944617333735,0.0,2.6150538032665094e-07,5.276761246041253e-06,1.3730365781999957e-34,rapid_progressive,0.9999944617333735,0.0,2.6150538032665094e-07,5.276761246041253e-06,1.3730365781999957e-34,23.414915,-13.7083645,0.9870153509409744,0.0,1.1592282914724356e-29,0.01082394042457757,6.931365281232816e-20,0,0.9509081809918052,0.11290219309467188,0.9999997384946195,0.0,0.19024060506844628,11.988393,6.648221
505,26,0,0,1,0,0,0,0,1,1,1,1,0,505,6,109.15,84.64,18.28,26.31,22.44,321.72,33.93,77.54,77.47808799532883,0,0.999999999984631,0.0,6.742827282868551e-15,4.2986168644881503e-41,1.5361733509960342e-11,rapid_progressive,0.999999999984631,0.0,6.742827282868551e-15,4.2986168644881503e-41,1.5361733509960342e-11,22.009417,24.967907,0.010504492475268717,0.0,1.0098532907245405e-174,5.819190487972407e-05,0.9894373156198515,4,0.9176082125147929,0.42179708146878825,0.999999999984631,6.393096068662994e-12,0.0038308386667776466,8.03703,7.60335
506,27,1,0,1,0,0,0,0,0,1,1,1,0,506,6,173.02,151.39,12.91,48.39,32.64,312.84,55.3,87.5,83.0571489752933,0,0.999958289791755,0.0,3.851321196708592e-15,4.171020824238139e-05,5.403168349393911e-72,rapid_progressive,0.999958289791755,0.0,3.851321196708592e-15,4.171020824238139e-05,5.403168349393911e-72,42.311333,-7.832172,0.9999997127373796,0.0,7.162353904352967e-46,1.4646510129004672e-21,4.2736090195096856e-08,0,1.0,0.1385761501708366,0.9999999999999974,0.0,2.2238008587589286e-09,11.404035,9.272276
507,28,0,0,1,0,0,0,0,1,0,1,1,0,507,6,114.96,90.08,10.75,35.34,23.93,254.9,45.1,78.36,86.47127798196293,0,0.9999995839398976,0.0,4.160600576269376e-07,2.4181459269827276e-14,2.182449897999999e-14,rapid_progressive,0.9999995839398976,0.0,4.160600576269376e-07,2.4181459269827276e-14,2.182449897999999e-14,21.916937,6.9875364,0.8910076832680753,0.0,3.6101531789165046e-60,0.10859564319494446,0.00039667353697852794,0,0.891590044762399,0.23022831788211223,0.9999995839399218,4.3441857136323815e-16,1.9582190808751776e-06,9.484366,6.606341
508,29,0,0,1,0,0,0,0,1,1,1,1,0,508,6,148.11,86.14,12.35,24.17,19.95,356.34,41.56,58.16,85.35083326185347,0,0.9999999999999947,0.0,2.68259217914847e-16,6.231996956365325e-243,4.185686477186032e-15,rapid_progressive,0.9999999999999947,0.0,2.68259217914847e-16,6.231996956365325e-243,4.185686477186032e-15,29.104778,19.571564,9.677263203597396e-13,0.0,0.0,5.0728454090195545e-27,0.9999999999990319,4,0.9055647231447821,0.3814345878694521,0.9999999999999947,2.3638018100106777e-16,0.22759871586325775,7.1120305,7.7294025
509,30,1,0,1,0,0,0,0,1,0,1,1,0,509,6,170.39,157.37,10.67,50.24,22.44,313.23,54.4,92.36,85.9187262819806,0,0.9701227072799499,0.0,6.245105738338715e-18,0.02987729272005064,3.91166472950898e-78,rapid_progressive,0.9701227072799499,0.0,6.245105738338715e-18,0.02987729272005064,3.91166472950898e-78,42.249775,-8.39332,0.9953805824880395,0.0,3.0084188221324117e-37,1.444135372733533e-24,2.1331919488464107e-07,0,1.0,0.010465931551111493,1.0000000000000004,0.0,-9.940913211954912e-13,11.424185,9.271626
510,31,0,0,1,0,0,0,0,1,1,1,1,0,510,6,101.99,51.86,12.31,17.29,23.01,299.94,34.0,50.85,109.91884736280763,0,0.9897309045501812,0.0,5.2613236607212626e-17,4.554415136076767e-267,0.010269095449819401,rapid_progressive,0.9897309045501812,0.0,5.2613236607212626e-17,4.554415136076767e-267,0.010269095449819401,16.939434,32.757206,0.0004902817515926928,0.0,0.0,1.4608778524302799e-21,0.9995097182484067,4,0.775187215521767,0.46406029866805387,0.9897309045501812,0.0021317192402142797,-8.534417959461982e-13,6.3531837,6.9498796
