,PlaybackIndex,is_distal_droplet,is_total,is_progressive,is_slow,is_medium,is_proximal_droplet,is_hyperactive_mouse,is_motile,is_static,is_bent_tail,is_rapid,is_earlytrack,fid,VAP,VSL,ALH,LIN,BCF,VCL,WOB,STR,MAD,cluster_id,P_cluster_0,P_cluster_1,P_cluster_2,P_cluster_3,P_cluster_4,subtype_label,P_rapid_progressive,P_immotile,P_nonprogressive,P_progressive,P_erratic,tsne_1,tsne_2,P_axis_byls,E_axis_byls,progressivity_res,erraticity_res,entropy
250,12,0,1,1,0,0,0,0,1,0,0,1,0,250,99.23,89.96,7.59,59.34,29.92,151.6,65.45,90.66,67.56229847492071,3,8.998946877111943e-16,0.0,3.792537214424511e-08,0.9999999620746258,7.158662706001201e-89,progressive,8.998946877111943e-16,0.0,3.792537214424511e-08,0.9999999620746258,7.158662706001201e-89,1.7655602,-25.72133,0.9435292341931896,0.18917185459790647,0.9999999620746267,5.300314702932834e-91,6.859786861153878e-07
251,13,0,1,0,0,0,0,0,1,0,0,1,0,251,71.18,28.57,8.01,20.97,23.73,136.22,52.25,40.13,74.64256797937925,2,7.45023658117441e-25,0.0,0.9999996236652675,8.548338253386639e-165,3.763347333801564e-07,non_progressive,7.45023658117441e-25,0.0,0.9999996236652675,8.548338253386639e-165,3.763347333801564e-07,-9.0686035,23.096455,0.5861258513768943,0.371000772322401,7.45023658117441e-25,4.7350465041893234e-08,5.943372154433748e-06
252,14,0,1,1,0,0,0,0,1,0,0,1,0,252,79.79,72.3,8.85,41.91,19.23,172.5,46.26,90.61,84.34595262707843,3,0.00010053181336508274,0.0,1.2630081040433075e-05,0.9998868381055955,5.931693273218747e-24,progressive,0.00010053181336508274,0.0,1.2630081040433075e-05,0.9998868381055955,5.931693273218747e-24,0.5607902,4.6367197,0.8482646329425947,0.16902366290836465,0.9999873699189606,3.6687787418527737e-25,0.000155104427363858
253,15,0,1,0,0,1,0,0,1,0,0,0,0,253,37.01,34.35,3.29,39.38,39.2,87.21,42.44,92.81,117.7428014155834,2,1.5342902372541216e-08,0.0,0.9944838289730844,0.005516155684012737,1.0341568422318504e-53,non_progressive,1.5342902372541216e-08,0.0,0.9944838289730844,0.005516155684012737,1.0341568422318504e-53,-15.038892,8.93953,0.7299556247790147,0.19112400915822914,0.005516171026915109,0.0,0.03418533236170218
254,16,0,1,0,0,1,0,0,1,0,0,0,0,254,39.03,36.35,4.92,49.81,24.76,72.98,53.48,93.14,90.10481417438932,3,7.127408600295195e-16,0.0,0.0076627042280420716,0.9923372957719566,3.7097394781107037e-122,progressive,7.127408600295195e-16,0.0,0.0076627042280420716,0.9923372957719566,3.7097394781107037e-122,-14.762653,3.5597026,0.7825394428522316,0.21132751584855244,0.9923372957719573,3.87432352784605e-123,0.04496129367178268
255,17,0,1,0,0,1,0,0,1,0,0,0,0,255,18.24,7.12,4.56,12.12,29.92,58.73,31.06,39.02,93.00141905560898,2,1.7787536201434258e-40,0.0,0.9600271177575319,0.0,0.039972882242468345,non_progressive,1.7787536201434258e-40,0.0,0.9600271177575319,0.0,0.039972882242468345,-21.469734,19.392088,0.37534734580049345,0.2965552247975738,1.7787536201434258e-40,0.0,0.16785795646173834
256,18,0,1,1,0,0,0,0,1,0,0,1,0,256,84.76,80.4,5.1,56.85,36.11,141.43,59.93,94.85,82.9551574423787,3,2.1890133645300344e-17,0.0,1.8139573594171216e-07,0.9999998186042647,4.1381440599612685e-86,progressive,2.1890133645300344e-17,0.0,1.8139573594171216e-07,0.9999998186042647,4.1381440599612685e-86,-8.444957,-11.880609,0.9246766251734961,0.16029188794434063,0.9999998186042647,0.0,2.997124414148944e-06
257,19,0,1,1,0,0,0,0,1,0,0,1,1,257,99.5,94.48,6.25,65.39,31.75,144.49,68.86,94.95,70.16946991044155,3,4.94082133902826e-26,0.0,7.777281228250477e-10,0.9999999992222719,5.895244566479336e-124,progressive,4.94082133902826e-26,0.0,7.777281228250477e-10,0.9999999992222719,5.895244566479336e-124,0.53539443,-32.103046,0.9843748116994471,0.16013116850248663,0.9999999992222719,0.0,1.7088299358393004e-08
258,20,0,1,1,0,0,0,0,1,0,0,1,0,258,82.27,78.16,4.69,59.52,27.78,131.32,62.65,95.0,63.3306627856766,3,5.713089617534169e-23,0.0,2.2849310931752717e-07,0.9999997715068906,4.122506306752929e-108,progressive,5.713089617534169e-23,0.0,2.2849310931752717e-07,0.9999997715068906,4.122506306752929e-108,-11.038564,-22.562662,0.9263775097712217,0.1385825382374983,0.9999997715068906,0.0,3.7225528230480494e-06
259,21,0,1,0,0,0,0,0,1,0,0,1,0,259,61.49,40.71,15.09,25.4,7.22,160.3,38.36,66.2,50.31966957526265,2,0.0860164431315248,0.0,0.9050965877435883,1.5110213078604636e-83,0.008886969124886573,non_progressive,0.0860164431315248,0.0,0.9050965877435883,1.5110213078604636e-83,0.008886969124886573,-6.018344,16.51525,0.6496696311351497,0.3867830193620748,0.0860164431315248,0.004324178343031859,0.05472632802996789
